Lambda,Average Number of Zeros X,Average Number of Zeros Y,Average Sparsity,Average Error
0.01,11891.2 +- 148.11130949390733,7211.4 +- 102.99339784665811,3.1456105088718784 +- 0.025462116742560978,3.580719462087322e-05 +- 6.728317099621116e-07
0.02,13281.5 +- 120.5572478119835,7211.4 +- 102.99339784665811,2.9464561204598767 +- 0.033360512827280725,6.0997295474351325e-05 +- 1.2818616681263456e-06
0.05,15330.2 +- 79.15276369148458,7211.4 +- 102.99339784665811,1.5327574038461285 +- 0.02770618619282432,0.0001157306483811662 +- 2.6361129243447288e-06
0.1,15894.9 +- 32.383483444496825,7211.4 +- 102.99339784665811,1.370735016846526 +- 0.017291801042641036,0.00017022329857379847 +- 8.34583333480009e-06
